run_date,term,author,posts
2026-06-22,could,KMOV St. Louis,1
2026-06-22,could,AcornAl,1
2026-06-22,could,loopfission,1
2026-06-22,could,thewest.com.au,1
2026-06-22,could,nationaltribune.com.au,1
2026-06-22,could,nine.com.au,1
2026-06-22,could,kalkinemedia.com,1
2026-06-22,could,smh.com.au,1
2026-06-22,council,ABC News (Australia),2
2026-06-22,council,John Meaders,1
2026-06-22,council,KIMA Action News,1
2026-06-22,council,Ana Gabriel Ritmos y Sentimientos,1
2026-06-22,council,boytoymichelle,1
2026-06-22,council,Jason Active,1
2026-06-22,council,snowyvalleys.nsw.gov.au,1
2026-06-22,council,myallcoast.newsofthearea.com.au,1
2026-06-22,court,Toxic Fluoride,2
2026-06-22,court,The Dr Kumar Discovery,1
2026-06-22,court,Rebel News,1
2026-06-22,court,Daily Dart,1
2026-06-22,court,loopfission,1
2026-06-22,court ruling,Toxic Fluoride,2
2026-06-22,court ruling,The Dr Kumar Discovery,1
2026-06-22,cover,SupremacyGentleman666,1
2026-06-22,cover,Arkansas Underground,1
2026-06-22,cover,Datura,1
2026-06-22,cover,MINCE'N'WEED,1
2026-06-22,cover,s3-ap-southeast-2.amazonaws.com,1
2026-06-22,cover-up,TruthFoundry,1
2026-06-22,cover-up,The Economic Times,1
2026-06-22,cover-up,Redacted,1
2026-06-22,covid,WillowOfTheWisp,14
2026-06-22,covid,mike_honey,8
2026-06-22,covid,loopfission,6
2026-06-22,covid,The Economic Times,3
2026-06-22,covid,miragenews.com,3
2026-06-22,covid,Rebel News,2
2026-06-22,covid,The Midnight Pharmacy,2
2026-06-22,covid,"Australian Dept of Health, Disability and Ageing",2
2026-06-22,covid,A Current Affair,2
2026-06-22,covid,AcornAl,2
2026-06-22,covid,msn.com,2
2026-06-22,covid,thetimes.com.au,2
2026-06-22,covid,DW News,1
2026-06-22,covid,Kanooni Adhikar,1
2026-06-22,covid,The Insight Crafter,1
2026-06-22,covid,"Peter A. McCullough, MD, MPH™",1
2026-06-22,covid,Lawtinum,1
2026-06-22,covid,Dr Trozzi,1
2026-06-22,covid,Kristen Lindgren,1
2026-06-22,covid,KVUE,1
2026-06-22,covid,Dr. Misha Kogan,1
2026-06-22,covid,The Pulse Report,1
2026-06-22,covid,Jonathan Howard,1
2026-06-22,covid,The American F.A.N Podcast,1
2026-06-22,covid,Graig Weich BeyondComics. TV,1
2026-06-22,covid,Dr Diaguard,1
2026-06-22,covid,nathashasCheekyWorld,1
2026-06-22,covid,Flashlights,1
2026-06-22,covid,Owen Report,1
2026-06-22,covid,McCullough Foundation,1
2026-06-22,covid,Dr. David MD,1
2026-06-22,covid,UMN Office of Academic Clinical Affairs,1
2026-06-22,covid,The Daily Signal,1
2026-06-22,covid,The Financial Express,1
2026-06-22,covid,The Jimmy Dore Show,1
2026-06-22,covid,Blaire White,1
2026-06-22,covid,9NEWS,1
2026-06-22,covid,Youth Health Focus,1
2026-06-22,covid,HEALTH-HEALTH: 245k views : 3hours ago...,1
2026-06-22,covid,TerryWhite Chemmart Paragon ,1
2026-06-22,covid,Redacted,1
2026-06-22,covid,A Peaceful Perch,1
2026-06-22,covid,Sky News Australia,1
2026-06-22,covid,news.com.au,1
2026-06-22,covid,Daily Insight,1
2026-06-22,covid,Full Measure with Sharyl Attkisson,1
2026-06-22,covid,VS2ute,1
2026-06-22,covid,LechuckThreepwood,1
2026-06-22,covid,PowerBottomBear92,1
